2431, 3520, 0,0
2950, 2917, 0,140
2950, 2918, 0,206
2950, 2919, 0,206
2304, 3191, 0,1
2412, 4434, 0,255
2412, 4435, 0,255
3423, 3538, 0,111
3423, 3540, 0,10
2544, 3306, 0,159
2530, 3320, 0,79
2283, 3402, 0,103
2371, 3622, 0,255
2371, 3619, 0,13
2775, 10002, 0,207
2768, 10002, 0,63
3117,3161,0,0
3122,3162,0,0
3122,3161,0,0
3122,3160,0,0
3122,3159,0,0
3122,3158,0,0
3122,3157,0,0
3122,3156,0,0
3122,3155,0,0
3122,3154,0,0
3122,3153,0,0
3122,3152,0,0
3122,3151,0,0
3122,3150,0,0
3122,3149,0,0
3122,3148,0,0
3122,3147,0,0
3123,3162,0,0
3124,3162,0,0
3125,3162,0,0
3126,3162,0,0
3127,3162,0,0
3128,3162,0,0
3129,3162,0,0
3130,3162,0,0
3131,3162,0,0
3132,3162,0,0
3133,3162,0,0
3134,3162,0,0
3088,3162,0,0
3083,3162,0,0
3082,3162,0,0
3081,3162,0,0
3080,3162,0,0
3079,3162,0,0
2909,3841,0,13
2909,3842,0,255
3108,3136,0,0
3109,3136,0,0
3110,3136,0,0
3111,3136,0,0
3112,3136,0,0
3113,3136,0,0
3114,3136,0,0
3115,3136,0,0
3116,3136,0,0
3117,3136,0,0
3118,3136,0,0
